id,kind,name,flags,manpower_contractor,service_contractor,gov_company,company_name,company_status,company_type,company_government,company_limit,company_postal_code,company_mafera,company_address,company_city,lat,lng
510039613,company,א בן עזר ובניו בעמ,null,null,null,False,א בן עזר ובניו בעמ,פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,6495203,,אבן גבירול 68 תל אביב - יפו ,תל אביב - יפו,32.0800599,34.7815681
510001829,company,א סיניבר ושות מהנדסים בעמ,null,null,null,False,א סיניבר ושות מהנדסים בעמ,"בפרוק ע""י ביהמ""ש",חברה פרטית,חברה לא ממשלתית,מוגבלת,7120117,,הס משה 3 לוד ,לוד,31.9557694,34.8909151
512203142,company,"א. אפשטיין ובניו (1995) בע""מ",null,null,null,False,"א. אפשטיין ובניו (1995) בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4951447,,המפלסים 17 פתח תקווה ,פתח תקווה,32.1019814,34.8641911
512751801,company,"א. בלאו מהנדסים בע""מ",null,null,null,False,"א. בלאו מהנדסים בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,9389507,,העירית 7 ירושלים ,ירושלים,31.7368828,35.1914713
511865529,company,"א. מדז'ר הנדסה בע""מ",null,null,null,False,"א. מדז'ר הנדסה בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,0,,אמנון ותמר 1 רחובות ,רחובות,31.8780713,34.7895715
511280422,company,"א. נ. מידן בע""מ",null,null,null,False,"א. נ. מידן בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,8421638,,סמילנסקי 11 באר שבע ,באר שבע,31.2368137,34.7883657
511756157,company,"א. פנקס ובנו בע""מ",null,null,null,False,"א. פנקס ובנו בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5500017,,גולומב 17 קריית אונו ,קריית אונו,32.0650143,34.8558938
511536575,company,"א.ב. מתכננים בע""מ",null,null,null,False,"א.ב. מתכננים בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,6701310,,דרך בגין 116 תל אביב - יפו ,תל אביב - יפו,32.0708772,34.7892547
512499567,company,"א.ב. שיקום - נתניה 1997 בע""מ",null,null,null,False,"א.ב. שיקום - נתניה 1997 בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4240202,,שטמפפר 2 נתניה ,נתניה,32.3290582,34.8553076
512790775,company,"א.בוידק כבישים תנועה ופיתוח בע""מ",null,null,null,False,"א.בוידק כבישים, תנועה ופיתוח בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,6777859,,"ריב""ל 22 תל אביב - יפו ",תל אביב - יפו,32.0625566,34.783453
