id,kind,name,flags,manpower_contractor,service_contractor,gov_company,company_name,company_status,company_type,company_government,company_limit,company_postal_code,company_mafera,company_address,company_city,lat,lng
510504855,company,אחים לדר בעמ ה,null,null,null,False,אחים לדר בעמ ה,פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,17000,חברה מפרת חוק,אזור תעשיה ג'  נצרת עילית ,נצרת עילית,32.71424,35.333126
513066324,company,"אחים לוי (רווחה) בע""מ",null,null,null,False,"אחים לוי (רווחה) בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,7935300,, 75 רווחה ,רווחה,31.645935,34.733181
514337518,company,"אחים רדא בע""מ",null,null,null,False,"אחים רדא בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,3659000,חברה מפרת חוק, 0 מנשית זבדה ,מנשית זבדה,32.048929,34.7942185
513228023,company,"אחים שנאן השקעות בע""מ",null,null,null,False,"אחים שנאן השקעות בע""מ","בפרוק ע""י ביהמ""ש",חברה פרטית,חברה לא ממשלתית,מוגבלת,25155,,כפר  חורפיש ,חורפיש,33.016688,35.347106
513314294,company,"אטורה תעשיות בע""מ",null,null,null,False,"אטורה תעשיות בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,1790500,, 0 הסוללים ,הסוללים,32.0716746,34.7961639
511175788,company,"אטלס קרטוגרפיק טכנולוגיות בע""מ",null,null,null,False,"אטלס קרטוגרפיק טכנולוגיות בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5257345,חברה מפרת חוק,דרך בן גוריון דוד 24 רמת גן ,רמת גן,32.1394471,34.8335798
511856429,company,"אטם הנדסה ש.א. בע""מ",null,null,null,False,"אטם הנדסה ש.א. בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,,,בלטימור 22 עכו ,עכו,32.9000474,35.0904979
513816264,company,"אטנגו בע""מ",null,null,null,False,"אטנגו בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4649736,,סוקולוב 29 הרצליה ,הרצליה,32.1672393,34.84181030000001
514462076,company,"אטרנג'י בע""מ",null,null,null,False,"אטרנג'י בע""מ",בפרוק מרצון,חברה פרטית,חברה לא ממשלתית,מוגבלת,6468204,חברה מפרת חוק,בארי 4 תל אביב - יפו ,תל אביב - יפו,32.0836015,34.7857762
512861063,company,"אי אמ סי ישראל טכנולוגיות מידע מתקדמות בע""מ",null,null,null,False,"אי אמ סי ישראל טכנולוגיות מידע מתקדמות בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4673341,,המדע 7 הרצליה ,הרצליה,32.1667359,34.8128952
514242700,company,"אי-פיפר בע""מ",null,null,null,False,"אי-פיפר בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,2017400,, 1 תרדיון ,תרדיון,32.04871860000001,34.7928534
511150880,company,"אי. אי. לאב סיסטמס בע""מ",null,null,null,False,"אי. אי. לאב סיסטמס בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5252174,חברה מפרת חוק,היצירה 33 רמת גן ,רמת גן,32.087898,34.8020757
511029373,company,"אי. אל. די. אדוונסד לוגיסטיקס דוולופמנטס בע""מ",null,null,null,False,"אי. אל. די. אדוונסד לוגיסטיקס דוולופמנטס בע""מ",פעילה,חברה ציבורית,חברה לא ממשלתית,מוגבלת,67137,,שד מנחם בגין 52 תל אביב - יפו ,תל אביב - יפו,32.0637232,34.7814426
513599597,company,"אי. אם. שגב תעשיות בע""מ",null,null,null,False,"אי. אם. שגב תעשיות בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,8122441,,נחל שניר 4 יבנה ,יבנה,31.8992678,34.7387311
513573956,company,"אי.או. סייט בע""מ",null,null,null,False,"אי.או. סייט בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,6971057,חברה מפרת חוק,הארד 5 תל אביב - יפו ,תל אביב - יפו,32.1113108,34.8410106
512762121,company,"אי.איי.אם. מערכות ורכיבים (1999) בע""מ",null,null,null,False,"אי.איי.אם. מערכות ורכיבים (1999) בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4959376,,הסיבים 18 פתח תקווה ,פתח תקווה,32.0887028,34.8567189
510776164,company,"אי.אר.פי.סי. מוצרי גומי ישראלים בע""מ",null,null,null,False,"אי.אר.פי.סי. מוצרי גומי ישראלים בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4482000,,ברקת 4 ברקן ,ברקן,1.0,1.0
513219337,company,"אי.די.טי. גלובל ישראל  בע""מ",null,null,null,False,"אי.די.טי. גלובל ישראל  בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,9727109,,דרך החורש 64 ירושלים ,ירושלים,31.8084878,35.1960793
513508523,company,"אי.טי.ויו. בע""מ",null,null,null,False,"אי.טי.ויו. בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,2017900,, 0 משגב ,משגב,32.9187822,35.2986655
510908361,company,"אי.טי.טי.אי (שיווק) בע""מ",null,null,null,False,"אי.טי.טי.אי (שיווק) בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5136004,,ז'בוטינסקי 168 בני ברק ,בני ברק,32.0926174,34.8392057
513823989,company,"אידי-יו ביומטריקס בע""מ",null,null,null,False,"אידי-יו ביומטריקס בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,,חברה מפרת חוק,חת נחום 5 טירת כרמל ,טירת כרמל,32.7837174,34.9608968
513560409,company,"איה נטורל בע""מ",null,null,null,False,"איה נטורל בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,2499000,, 0 בית ג'ן ,בית ג'ן,31.9375163,35.2214483
513972125,company,"איווב אם די בע""מ",null,null,null,False,"איווב אם די בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4690500,, 0 גליל ים ,גליל ים,32.8524157,35.0810677
510964893,company,"איזוטסט בע""מ",null,null,null,False,"איזוטסט בע""מ","בפרוק ע""י ביהמ""ש",חברה פרטית,חברה לא ממשלתית,מוגבלת,8122315,,נחל פולג 1 יבנה ,יבנה,31.90113089999999,34.738681
514007459,company,"איזי יוגב טכנולוגיות בע""מ",null,null,null,False,"איזי יוגב טכנולוגיות בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,,,אזור תעשיה צפוני 0 בית שאן ,בית שאן,32.497103,35.497336
513809327,company,"איי רוקס מוצרי תוכנה בע""מ",null,null,null,False,"איי רוקס מוצרי תוכנה בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5136004,,ז'בוטינסקי 168 בני ברק ,בני ברק,32.0926174,34.8392057
513935494,company,"איי.אם (איקומרס) אונליין בע""מ",null,null,null,False,"איי.אם (איקומרס) אונליין בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5270003,,דרך בגין מנחם 16 רמת גן ,רמת גן,32.085408,34.8003036
513699280,company,"איי.בי טקס בע""מ",null,null,null,False,"איי.בי טקס בע""מ","בפרוק ע""י ביהמ""ש",חברה פרטית,חברה לא ממשלתית,מוגבלת,3081100,, 0 טמרה ,טמרה,35.0419645,-78.2385975
513531194,company,"איי.בי. דנטל דיוייסס בע""מ",null,null,null,False,"איי.בי. דנטל דיוייסס בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,0,,היהלומים 19 אשדוד ,אשדוד,31.815582,34.660299
513989517,company,"איי.וואי מוביל בע""מ",null,null,null,False,"איי.וואי מוביל בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,8422133,,הדסה 90 באר שבע ,באר שבע,31.2418229,34.788783
512212028,company,"איי.וי.פי. אייבורי וידאו פרודקשנס בע""מ",null,null,null,False,"איי.וי.פי. אייבורי וידאו פרודקשנס בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,4442520,,"התע""ש 20 כפר סבא ",כפר סבא,32.1760014,34.9270474
511683609,company,"איי.טי.אל. בדיקת מוצרים בע""מ",null,null,null,False,"איי.טי.אל. בדיקת מוצרים בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,7120101,,בת שבע 1 לוד ,לוד,31.9540397,34.89033310000001
514059591,company,"איי.סי.סי מרכז החיתוך הישראלי בע""מ",null,null,null,False,"איי.סי.סי מרכז החיתוך הישראלי בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,9342109,חברה מפרת חוק,האומן 14 ירושלים ,ירושלים,31.75064739999999,35.2096346
513852491,company,"איי.פי. דיפנס בע""מ",null,null,null,False,"איי.פי. דיפנס בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,7985800,, 0 משואות יצחק ,משואות יצחק,31.7457456,35.2216519
514248939,company,"איידיאג אחזקות בע""מ",null,null,null,False,"איידיאג אחזקות בע""מ",בפרוק מרצון,חברה פרטית,חברה לא ממשלתית,מוגבלת,4729630,חברה מפרת חוק,החלוץ 27 רמת השרון ,רמת השרון,32.1319804,34.8589331
513951350,company,"אייהו טכנולוגיות תוכנה בע""מ",null,null,null,False,"אייהו טכנולוגיות תוכנה בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,5885849,,הרוקמים 26 חולון ,חולון,32.0077569,34.8006392
514135961,company,"אייויו דיגיטל בע""מ",null,null,null,False,"אייויו דיגיטל בע""מ",פעילה,חברה פרטית,חברה לא ממשלתית,מוגבלת,6520816,חברה מפרת חוק,אחד העם 108 תל אביב - יפו ,תל אביב - יפו,32.0688874,34.7774185
